,probe_g,
205339_at,STIL,STIL centriolar assembly protein
205340_at,ZBTB24,zinc finger and BTB domain containing 24
205341_at,EHD2,EH domain containing 2
205342_s_at,SULT1C2,sulfotransferase family 1C member 2
205343_at,SULT1C2,sulfotransferase family 1C member 2
205344_at,CSPG5,chondroitin sulfate proteoglycan 5
205345_at,BARD1,BRCA1 associated RING domain 1
205346_at,ST3GAL2,"ST3 beta-galactoside alpha-2,3-sialyltransferase 2"
205347_s_at,TMSB15A,thymosin beta 15A
205348_s_at,DYNC1I1,dynein cytoplasmic 1 intermediate chain 1
205349_at,GNA15,G protein subunit alpha 15
205350_at,CRABP1,cellular retinoic acid binding protein 1
205351_at,GGCX,gamma-glutamyl carboxylase
205352_at,SERPINI1,serpin family I member 1
205353_s_at,PEBP1,phosphatidylethanolamine binding protein 1
205354_at,GAMT,guanidinoacetate N-methyltransferase
205355_at,ACADSB,acyl-CoA dehydrogenase short/branched chain
205356_at,USP13,ubiquitin specific peptidase 13
205357_s_at,AGTR1,angiotensin II receptor type 1
205358_at,GRIA2,glutamate ionotropic receptor AMPA type subunit 2
205359_at,AKAP6,A-kinase anchoring protein 6
205360_at,PFDN4,prefoldin subunit 4
205361_s_at,PFDN4,prefoldin subunit 4
205362_s_at,PFDN4,prefoldin subunit 4
205363_at,BBOX1,gamma-butyrobetaine hydroxylase 1
205364_at,ACOX2,acyl-CoA oxidase 2
205365_at,HOXB6,homeobox B6
205366_s_at,HOXB6,homeobox B6
205367_at,SH2B2,SH2B adaptor protein 2
205368_at,FAM131B,family with sequence similarity 131 member B
205369_x_at,DBT,dihydrolipoamide branched chain transacylase E2
205370_x_at,DBT,dihydrolipoamide branched chain transacylase E2
205371_s_at,DBT,dihydrolipoamide branched chain transacylase E2
205372_at,PLAG1,PLAG1 zinc finger
205373_at,CTNNA2,catenin alpha 2
205374_at,SLN,sarcolipin
205375_at,MDFI,MyoD family inhibitor
205376_at,INPP4B,inositol polyphosphate-4-phosphatase type II B
205377_s_at,ACHE,acetylcholinesterase (Cartwright blood group)
205378_s_at,ACHE,acetylcholinesterase (Cartwright blood group)
205379_at,CBR3,carbonyl reductase 3
205380_at,PDZK1,PDZ domain containing 1
205381_at,LRRC17,leucine rich repeat containing 17
205382_s_at,CFD,complement factor D
205383_s_at,ZBTB20,zinc finger and BTB domain containing 20
205384_at,FXYD1,FXYD domain containing ion transport regulator 1
205385_at,MDM2,MDM2 proto-oncogene
205386_s_at,MDM2,MDM2 proto-oncogene
205387_s_at,CGB3,chorionic gonadotropin subunit beta 3
205387_s_at,CGB5,chorionic gonadotropin subunit beta 5
205387_s_at,CGB7,chorionic gonadotropin subunit beta 7
205388_at,TNNC2,"troponin C2, fast skeletal type"
205389_s_at,ANK1,ankyrin 1
205390_s_at,ANK1,ankyrin 1
205391_x_at,ANK1,ankyrin 1
205392_s_at,CCL14,C-C motif chemokine ligand 14
205392_s_at,CCL15-CCL14,CCL15-CCL14 readthrough (NMD candidate)
205393_s_at,CHEK1,checkpoint kinase 1
205394_at,CHEK1,checkpoint kinase 1
205395_s_at,MRE11,"MRE11 homolog, double strand break repair nuclease"
205396_at,SMAD3,SMAD family member 3
205397_x_at,SMAD3,SMAD family member 3
205398_s_at,SMAD3,SMAD family member 3
205399_at,DCLK1,doublecortin like kinase 1
205400_at,WAS,WASP actin nucleation promoting factor
205401_at,AGPS,alkylglycerone phosphate synthase
205402_x_at,PRSS2,serine protease 2
205403_at,IL1R2,interleukin 1 receptor type 2
205404_at,HSD11B1,hydroxysteroid 11-beta dehydrogenase 1
205405_at,SEMA5A,semaphorin 5A
205406_s_at,SPA17,sperm autoantigenic protein 17
205407_at,RECK,reversion inducing cysteine rich protein with kazal motifs
205408_at,MLLT10,MLLT10 histone lysine methyltransferase DOT1L cofactor
205409_at,FOSL2,"FOS like 2, AP-1 transcription factor subunit"
205410_s_at,ATP2B4,ATPase plasma membrane Ca2+ transporting 4
205411_at,STK4,serine/threonine kinase 4
205412_at,ACAT1,acetyl-CoA acetyltransferase 1
205413_at,MPPED2,metallophosphoesterase domain containing 2
205414_s_at,ARHGAP44,Rho GTPase activating protein 44
205415_s_at,ATXN3,ataxin 3
205416_s_at,ATXN3,ataxin 3
205417_s_at,DAG1,dystroglycan 1
205418_at,FES,"FES proto-oncogene, tyrosine kinase"
205419_at,GPR183,G protein-coupled receptor 183
205420_at,PEX7,peroxisomal biogenesis factor 7
205421_at,SLC22A3,solute carrier family 22 member 3
205422_s_at,ITGBL1,integrin subunit beta like 1
205423_at,AP1B1,adaptor related protein complex 1 subunit beta 1
205424_at,TBKBP1,TBK1 binding protein 1
205425_at,HIP1,huntingtin interacting protein 1
205426_s_at,HIP1,huntingtin interacting protein 1
205427_at,ZNF354A,zinc finger protein 354A
205428_s_at,CALB2,calbindin 2
205429_s_at,PALS2,"protein associated with LIN7 2, MAGUK family member"
205430_at,BMP5,bone morphogenetic protein 5
205431_s_at,BMP5,bone morphogenetic protein 5
205432_at,OVGP1,oviductal glycoprotein 1
205433_at,BCHE,butyrylcholinesterase
205434_s_at,AAK1,AP2 associated kinase 1
205435_s_at,AAK1,AP2 associated kinase 1
205436_s_at,H2AX,H2A.X variant histone
205437_at,ZNF211,zinc finger protein 211
205438_at,PTPN21,protein tyrosine phosphatase non-receptor type 21
205439_at,GSTT2,glutathione S-transferase theta 2 (gene/pseudogene)
205439_at,GSTT2B,glutathione S-transferase theta 2B
205440_s_at,NPY1R,neuropeptide Y receptor Y1
205441_at,OCEL1,occludin/ELL domain containing 1
205442_at,MFAP3L,microfibril associated protein 3 like
205443_at,SNAPC1,small nuclear RNA activating complex polypeptide 1
205444_at,ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1
205445_at,PRL,prolactin
205446_s_at,ATF2,activating transcription factor 2
205447_s_at,MAP3K12,mitogen-activated protein kinase kinase kinase 12
205448_s_at,MAP3K12,mitogen-activated protein kinase kinase kinase 12
205449_at,SAC3D1,SAC3 domain containing 1
205450_at,PHKA1,phosphorylase kinase regulatory subunit alpha 1
205451_at,FOXO4,forkhead box O4
205452_at,PIGB,phosphatidylinositol glycan anchor biosynthesis class B
205453_at,HOXB2,homeobox B2
205454_at,HPCA,hippocalcin
205455_at,MST1R,macrophage stimulating 1 receptor
205456_at,CD3E,CD3e molecule
205457_at,ILRUN,inflammation and lipid regulator with UBA-like and NBR1-like domains
205458_at,MC1R,melanocortin 1 receptor
205459_s_at,NPAS2,neuronal PAS domain protein 2
205460_at,NPAS2,neuronal PAS domain protein 2
205461_at,RAB35,"RAB35, member RAS oncogene family"
205462_s_at,HPCAL1,hippocalcin like 1
205463_s_at,PDGFA,platelet derived growth factor subunit A
205464_at,SCNN1B,sodium channel epithelial 1 subunit beta
205465_x_at,HS3ST1,heparan sulfate-glucosamine 3-sulfotransferase 1
205466_s_at,HS3ST1,heparan sulfate-glucosamine 3-sulfotransferase 1
205467_at,CASP10,caspase 10
205468_s_at,IRF5,interferon regulatory factor 5
205469_s_at,IRF5,interferon regulatory factor 5
205470_s_at,KLK11,kallikrein related peptidase 11
205471_s_at,DACH1,dachshund family transcription factor 1
205472_s_at,DACH1,dachshund family transcription factor 1
205473_at,ATP6V1B1,ATPase H+ transporting V1 subunit B1
205474_at,CRLF3,cytokine receptor like factor 3
205475_at,SCRG1,stimulator of chondrogenesis 1
205476_at,CCL20,C-C motif chemokine ligand 20
205477_s_at,AMBP,alpha-1-microglobulin/bikunin precursor
205478_at,PPP1R1A,protein phosphatase 1 regulatory inhibitor subunit 1A
205479_s_at,PLAU,"plasminogen activator, urokinase"
205480_s_at,UGP2,UDP-glucose pyrophosphorylase 2
205481_at,ADORA1,adenosine A1 receptor
205482_x_at,SNX15,sorting nexin 15
205483_s_at,ISG15,ISG15 ubiquitin like modifier
205484_at,SIT1,signaling threshold regulating transmembrane adaptor 1
205485_at,RYR1,ryanodine receptor 1
205486_at,TESK2,testis associated actin remodelling kinase 2
205487_s_at,VGLL1,vestigial like family member 1
205488_at,GZMA,granzyme A
205489_at,CRYM,crystallin mu
205490_x_at,GJB3,gap junction protein beta 3
205491_s_at,GJB3,gap junction protein beta 3
205492_s_at,DPYSL4,dihydropyrimidinase like 4
205493_s_at,DPYSL4,dihydropyrimidinase like 4
205494_at,ZNF821,zinc finger protein 821
205495_s_at,GNLY,granulysin
205496_at,KIAA0408,KIAA0408
205497_at,ZNF175,zinc finger protein 175
205498_at,GHR,growth hormone receptor
205499_at,SRPX2,sushi repeat containing protein X-linked 2
205500_at,C5,complement C5
205501_at,PDE10A,phosphodiesterase 10A
205502_at,CYP17A1,cytochrome P450 family 17 subfamily A member 1
205503_at,PTPN14,protein tyrosine phosphatase non-receptor type 14
205504_at,BTK,Bruton tyrosine kinase
205505_at,GCNT1,glucosaminyl (N-acetyl) transferase 1
205506_at,VIL1,villin 1
205507_at,ARHGEF15,Rho guanine nucleotide exchange factor 15
205508_at,SCN1B,sodium voltage-gated channel beta subunit 1
205509_at,CPB1,carboxypeptidase B1
205510_s_at,GABPB1-IT1,GABPB1 intronic transcript
205510_s_at,GABPB1,GA binding protein transcription factor subunit beta 1
205511_at,GABPB1-IT1,GABPB1 intronic transcript
205511_at,GABPB1,GA binding protein transcription factor subunit beta 1
205512_s_at,AIFM1,apoptosis inducing factor mitochondria associated 1
205513_at,TCN1,transcobalamin 1
205514_at,ZNF415,zinc finger protein 415
205515_at,PRSS12,serine protease 12
205516_x_at,CIZ1,CDKN1A interacting zinc finger protein 1
205517_at,GATA4,GATA binding protein 4
205518_s_at,CMAHP,"cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene"
205519_at,WDR76,WD repeat domain 76
205520_at,STRN,striatin
205521_at,EXOG,exo/endonuclease G
205522_at,HOXD4,homeobox D4
205523_at,HAPLN1,hyaluronan and proteoglycan link protein 1
205524_s_at,HAPLN1,hyaluronan and proteoglycan link protein 1
205525_at,CALD1,caldesmon 1
205526_s_at,KATNA1,katanin catalytic subunit A1
205527_s_at,GEMIN4,gem nuclear organelle associated protein 4
205528_s_at,RUNX1T1,RUNX1 partner transcriptional co-repressor 1
205529_s_at,RUNX1T1,RUNX1 partner transcriptional co-repressor 1
205530_at,ETFDH,electron transfer flavoprotein dehydrogenase
205531_s_at,GLS2,glutaminase 2
205532_s_at,CDH6,cadherin 6
205533_s_at,CDH6,cadherin 6
205534_at,PCDH7,protocadherin 7
205535_s_at,PCDH7,protocadherin 7
205536_at,VAV2,vav guanine nucleotide exchange factor 2
205537_s_at,VAV2,vav guanine nucleotide exchange factor 2
205538_at,CORO2A,coronin 2A
205539_at,AVIL,advillin
205540_s_at,RRAGB,Ras related GTP binding B
205541_s_at,GSPT2,G1 to S phase transition 2
205542_at,STEAP1,STEAP family member 1
205543_at,HSPA4L,heat shock protein family A (Hsp70) member 4 like
205544_s_at,CR2,complement C3d receptor 2
205545_x_at,DNAJC8,DnaJ heat shock protein family (Hsp40) member C8
205546_s_at,TYK2,tyrosine kinase 2
205547_s_at,TAGLN,transgelin
205548_s_at,BTG3,BTG anti-proliferation factor 3
205549_at,PCP4,Purkinje cell protein 4
205550_s_at,BABAM2,BRISC and BRCA1 A complex member 2
205551_at,SV2B,synaptic vesicle glycoprotein 2B
205552_s_at,OAS1,2'-5'-oligoadenylate synthetase 1
205553_s_at,CSRP3,cysteine and glycine rich protein 3
205554_s_at,DNASE1L3,deoxyribonuclease 1 like 3
205555_s_at,MSX2,msh homeobox 2
205556_at,MSX2,msh homeobox 2
205557_at,BPI,bactericidal permeability increasing protein
205558_at,TRAF6,TNF receptor associated factor 6
205559_s_at,PCSK5,proprotein convertase subtilisin/kexin type 5
205560_at,PCSK5,proprotein convertase subtilisin/kexin type 5
205561_at,KCTD17,potassium channel tetramerization domain containing 17
205562_at,RPP38,ribonuclease P/MRP subunit p38
205563_at,KISS1,KiSS-1 metastasis suppressor
205564_at,PAGE4,PAGE family member 4
205565_s_at,FXN,frataxin
205566_at,ABHD2,"abhydrolase domain containing 2, acylglycerol lipase"
205567_at,CHST1,carbohydrate sulfotransferase 1
205568_at,AQP9,aquaporin 9
205569_at,LAMP3,lysosomal associated membrane protein 3
205570_at,PIP4K2A,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha
205571_at,LIPT1,lipoyltransferase 1
205572_at,ANGPT2,angiopoietin 2
205573_s_at,SNX7,sorting nexin 7
205574_x_at,BMP1,bone morphogenetic protein 1
205575_at,C1QL1,complement C1q like 1
205576_at,SERPIND1,serpin family D member 1
205577_at,PYGM,"glycogen phosphorylase, muscle associated"
205578_at,ROR2,receptor tyrosine kinase like orphan receptor 2
205579_at,HRH1,histamine receptor H1
205580_s_at,HRH1,histamine receptor H1
205581_s_at,NOS3,nitric oxide synthase 3
205582_s_at,GGT5,gamma-glutamyltransferase 5
205583_s_at,ALG13,ALG13 UDP-N-acetylglucosaminyltransferase subunit
205584_at,ALG13,ALG13 UDP-N-acetylglucosaminyltransferase subunit
205585_at,ETV6,ETS variant transcription factor 6
205586_x_at,VGF,VGF nerve growth factor inducible
205587_at,CEP43,centrosomal protein 43
205588_s_at,CEP43,centrosomal protein 43
205589_at,MYL3,myosin light chain 3
205590_at,RASGRP1,RAS guanyl releasing protein 1
205591_at,OLFM1,olfactomedin 1
205592_at,SLC4A1,solute carrier family 4 member 1 (Diego blood group)
205593_s_at,PDE9A,phosphodiesterase 9A
205594_at,ZNF652,zinc finger protein 652
205595_at,DSG3,desmoglein 3
205596_s_at,SMURF2,SMAD specific E3 ubiquitin protein ligase 2
205597_at,SLC44A4,solute carrier family 44 member 4
205598_at,TRAIP,TRAF interacting protein
205599_at,TRAF1,TNF receptor associated factor 1
205600_x_at,HOXB5,homeobox B5
205601_s_at,HOXB5,homeobox B5
205602_x_at,PSG7,pregnancy specific beta-1-glycoprotein 7
205603_s_at,DIAPH2,diaphanous related formin 2
205604_at,HOXD9,homeobox D9
205605_at,HOXD9,homeobox D9
205605_at,LOC100129455,uncharacterized LOC100129455
205606_at,LRP6,LDL receptor related protein 6
205607_s_at,SCYL3,SCY1 like pseudokinase 3
205608_s_at,ANGPT1,angiopoietin 1
205609_at,ANGPT1,angiopoietin 1
205610_at,MYOM1,myomesin 1
205611_at,TNFSF12,TNF superfamily member 12
205612_at,MMRN1,multimerin 1
205613_at,SYT17,synaptotagmin 17
205614_x_at,MST1,macrophage stimulating 1
205615_at,CPA1,carboxypeptidase A1
205616_at,KCNA6,potassium voltage-gated channel subfamily A member 6
205616_at,GALNT8,polypeptide N-acetylgalactosaminyltransferase 8
205617_at,PRRG2,proline rich and Gla domain 2
205618_at,PRRG1,proline rich and Gla domain 1
205619_s_at,MEOX1,mesenchyme homeobox 1
205620_at,F10,coagulation factor X
205621_at,ALKBH1,"alkB homolog 1, histone H2A dioxygenase"
205622_at,SMPD2,sphingomyelin phosphodiesterase 2
205623_at,ALDH3A1,aldehyde dehydrogenase 3 family member A1
205624_at,CPA3,carboxypeptidase A3
205625_s_at,CALB1,calbindin 1
205626_s_at,CALB1,calbindin 1
205627_at,CDA,cytidine deaminase
205628_at,PRIM2,DNA primase subunit 2
205629_s_at,CRH,corticotropin releasing hormone
205630_at,CRH,corticotropin releasing hormone
205631_at,KIAA0586,KIAA0586
205632_s_at,PIP5K1B,phosphatidylinositol-4-phosphate 5-kinase type 1 beta
205633_s_at,ALAS1,5'-aminolevulinate synthase 1
205634_x_at,MBOAT7,membrane bound O-acyltransferase domain containing 7
205634_x_at,ZDHHC24,zinc finger DHHC-type containing 24
205635_at,KALRN,kalirin RhoGEF kinase
205636_at,SH3GL3,"SH3 domain containing GRB2 like 3, endophilin A3"
205637_s_at,SH3GL3,"SH3 domain containing GRB2 like 3, endophilin A3"
205638_at,ADGRB3,adhesion G protein-coupled receptor B3
205639_at,AOAH,acyloxyacyl hydrolase
205640_at,ALDH3B1,aldehyde dehydrogenase 3 family member B1
205641_s_at,TRADD,TNFRSF1A associated via death domain
205642_at,CNTRL,centriolin
205643_s_at,PPP2R2B,protein phosphatase 2 regulatory subunit Bbeta
205644_s_at,SNRPG,small nuclear ribonucleoprotein polypeptide G
205645_at,REPS2,RALBP1 associated Eps domain containing 2
205646_s_at,PAX6,paired box 6
205647_at,RAD52,"RAD52 homolog, DNA repair protein"
205648_at,WNT2,Wnt family member 2
205649_s_at,FGA,fibrinogen alpha chain
205650_s_at,FGA,fibrinogen alpha chain
205651_x_at,RAPGEF4,Rap guanine nucleotide exchange factor 4
205652_s_at,TTLL1,tubulin tyrosine ligase like 1
205653_at,CTSG,cathepsin G
205654_at,C4BPA,complement component 4 binding protein alpha
205655_at,MDM4,MDM4 regulator of p53
205656_at,PCDH17,protocadherin 17
205657_at,HAAO,"3-hydroxyanthranilate 3,4-dioxygenase"
205658_s_at,SNAPC4,small nuclear RNA activating complex polypeptide 4
205659_at,HDAC9,histone deacetylase 9
205660_at,OASL,2'-5'-oligoadenylate synthetase like
205661_s_at,FLAD1,flavin adenine dinucleotide synthetase 1
205662_at,B9D1,B9 domain containing 1
205663_at,PCBP3,poly(rC) binding protein 3
205664_at,KIN,Kin17 DNA and RNA binding protein
205665_at,TSPAN9,tetraspanin 9
205666_at,FMO1,flavin containing dimethylaniline monoxygenase 1
205667_at,WRN,WRN RecQ like helicase
205668_at,LY75,lymphocyte antigen 75
205669_at,NCAM2,neural cell adhesion molecule 2
205670_at,GAL3ST1,galactose-3-O-sulfotransferase 1
205671_s_at,HLA-DOB,"major histocompatibility complex, class II, DO beta"
205672_at,XPA,"XPA, DNA damage recognition and repair factor"
205673_s_at,ASB9,ankyrin repeat and SOCS box containing 9
205674_x_at,FXYD2,FXYD domain containing ion transport regulator 2
205675_at,MTTP,microsomal triglyceride transfer protein
205676_at,CYP27B1,cytochrome P450 family 27 subfamily B member 1
205677_s_at,DLEU1,deleted in lymphocytic leukemia 1
205678_at,AP3B2,adaptor related protein complex 3 subunit beta 2
205679_x_at,ACAN,aggrecan
205680_at,MMP10,matrix metallopeptidase 10
205681_at,BCL2A1,BCL2 related protein A1
205682_x_at,APOM,apolipoprotein M
205683_x_at,TPSAB1,tryptase alpha/beta 1
205683_x_at,TPSB2,tryptase beta 2
205684_s_at,DENND4C,DENN domain containing 4C
205685_at,CD86,CD86 molecule
205686_s_at,CD86,CD86 molecule
205687_at,UBFD1,ubiquitin family domain containing 1
205688_at,TFAP4,transcription factor AP-4
205689_at,PCNX2,pecanex 2
205690_s_at,BUD31,BUD31 homolog
205691_at,SYNGR3,synaptogyrin 3
205692_s_at,CD38,CD38 molecule
205693_at,TNNT3,"troponin T3, fast skeletal type"
205694_at,TYRP1,tyrosinase related protein 1
205695_at,SDS,serine dehydratase
205696_s_at,GFRA1,GDNF family receptor alpha 1
205697_at,SCGN,"secretagogin, EF-hand calcium binding protein"
205698_s_at,MAP2K6,mitogen-activated protein kinase kinase 6
205699_at,MAP2K6,mitogen-activated protein kinase kinase 6
205700_at,HSD17B6,hydroxysteroid 17-beta dehydrogenase 6
205701_at,IPO8,importin 8
205702_at,PHTF1,putative homeodomain transcription factor 1
205703_at,ATP6V0A2,ATPase H+ transporting V0 subunit a2
205704_s_at,ATP6V0A2,ATPase H+ transporting V0 subunit a2
205705_at,ANKRD26,ankyrin repeat domain 26
205706_s_at,ANKRD26,ankyrin repeat domain 26
205707_at,IL17RA,interleukin 17 receptor A
205708_s_at,TRPM2,transient receptor potential cation channel subfamily M member 2
205709_s_at,CDS1,CDP-diacylglycerol synthase 1
205710_at,LRP2,LDL receptor related protein 2
205711_x_at,ATP5F1C,ATP synthase F1 subunit gamma
205712_at,PTPRD,protein tyrosine phosphatase receptor type D
205713_s_at,COMP,cartilage oligomeric matrix protein
205714_s_at,ZMYND10,zinc finger MYND-type containing 10
205715_at,BST1,bone marrow stromal cell antigen 1
205716_at,SLC25A40,solute carrier family 25 member 40
205717_x_at,PCDHGC3,"protocadherin gamma subfamily C, 3"
205717_x_at,PCDHGB4,"protocadherin gamma subfamily B, 4"
205717_x_at,PCDHGA8,"protocadherin gamma subfamily A, 8"
205717_x_at,PCDHGA12,"protocadherin gamma subfamily A, 12"
205717_x_at,PCDHGC5,"protocadherin gamma subfamily C, 5"
205717_x_at,PCDHGC4,"protocadherin gamma subfamily C, 4"
205717_x_at,PCDHGB7,"protocadherin gamma subfamily B, 7"
205717_x_at,PCDHGB6,"protocadherin gamma subfamily B, 6"
205717_x_at,PCDHGB5,"protocadherin gamma subfamily B, 5"
205717_x_at,PCDHGB3,"protocadherin gamma subfamily B, 3"
205717_x_at,PCDHGB2,"protocadherin gamma subfamily B, 2"
205717_x_at,PCDHGB1,"protocadherin gamma subfamily B, 1"
205717_x_at,PCDHGA11,"protocadherin gamma subfamily A, 11"
205717_x_at,PCDHGA10,"protocadherin gamma subfamily A, 10"
205717_x_at,PCDHGA9,"protocadherin gamma subfamily A, 9"
205717_x_at,PCDHGA7,"protocadherin gamma subfamily A, 7"
205717_x_at,PCDHGA6,"protocadherin gamma subfamily A, 6"
205717_x_at,PCDHGA5,"protocadherin gamma subfamily A, 5"
205717_x_at,PCDHGA4,"protocadherin gamma subfamily A, 4"
205717_x_at,PCDHGA3,"protocadherin gamma subfamily A, 3"
205717_x_at,PCDHGA2,"protocadherin gamma subfamily A, 2"
205717_x_at,PCDHGA1,"protocadherin gamma subfamily A, 1"
205718_at,ITGB7,integrin subunit beta 7
205719_s_at,PAH,phenylalanine hydroxylase
205720_at,POMC,proopiomelanocortin
205721_at,GFRA2,GDNF family receptor alpha 2
205722_s_at,GFRA2,GDNF family receptor alpha 2
205723_at,CNTFR,ciliary neurotrophic factor receptor
205724_at,PKP1,plakophilin 1
205725_at,SCGB1A1,secretoglobin family 1A member 1
205726_at,DIAPH2,diaphanous related formin 2
205727_at,TEP1,telomerase associated protein 1
205728_at,TENM1,teneurin transmembrane protein 1
205729_at,OSMR,oncostatin M receptor
205730_s_at,ABLIM3,actin binding LIM protein family member 3
205731_s_at,NCOA2,nuclear receptor coactivator 2
205732_s_at,NCOA2,nuclear receptor coactivator 2
205733_at,BLM,BLM RecQ like helicase
205734_s_at,AFF3,AF4/FMR2 family member 3
205735_s_at,AFF3,AF4/FMR2 family member 3
205736_at,PGAM2,phosphoglycerate mutase 2
205737_at,KCNQ2,potassium voltage-gated channel subfamily Q member 2
205738_s_at,FABP3,fatty acid binding protein 3
205739_x_at,ZNF107,zinc finger protein 107
205740_s_at,RBM42,RNA binding motif protein 42
205741_s_at,DTNA,dystrobrevin alpha
205742_at,TNNI3,"troponin I3, cardiac type"
205743_at,STAC,SH3 and cysteine rich domain
205744_at,DOC2A,double C2 domain alpha
205745_x_at,ADAM17,ADAM metallopeptidase domain 17
205746_s_at,ADAM17,ADAM metallopeptidase domain 17
205747_at,CBLN1,cerebellin 1 precursor
205748_s_at,RNF126,ring finger protein 126
205749_at,CYP1A1,cytochrome P450 family 1 subfamily A member 1
205750_at,BPHL,biphenyl hydrolase like
205751_at,SH3GL2,"SH3 domain containing GRB2 like 2, endophilin A1"
205752_s_at,GSTM5,glutathione S-transferase mu 5
205753_at,CRP,C-reactive protein
205754_at,F2,"coagulation factor II, thrombin"
205755_at,ITIH3,inter-alpha-trypsin inhibitor heavy chain 3
205756_s_at,F8,coagulation factor VIII
205757_at,ENTPD5,ectonucleoside triphosphate diphosphohydrolase 5 (inactive)
205758_at,CD8A,CD8a molecule
205759_s_at,SULT2B1,sulfotransferase family 2B member 1
205760_s_at,OGG1,8-oxoguanine DNA glycosylase
205761_s_at,DUS4L,dihydrouridine synthase 4 like
205762_s_at,DUS4L,dihydrouridine synthase 4 like
205763_s_at,DDX18,DEAD-box helicase 18
205764_at,CSNK1A1,casein kinase 1 alpha 1
205765_at,CYP3A5,cytochrome P450 family 3 subfamily A member 5
205766_at,TCAP,titin-cap
205767_at,EREG,epiregulin
205768_s_at,SLC27A2,solute carrier family 27 member 2
205769_at,SLC27A2,solute carrier family 27 member 2
205770_at,GSR,glutathione-disulfide reductase
205771_s_at,AKAP7,A-kinase anchoring protein 7
205772_s_at,AKAP7,A-kinase anchoring protein 7
205773_at,CPEB3,cytoplasmic polyadenylation element binding protein 3
205774_at,F12,coagulation factor XII
205775_at,FAM50B,family with sequence similarity 50 member B
205776_at,FMO5,flavin containing dimethylaniline monoxygenase 5
205777_at,DUSP9,dual specificity phosphatase 9
205778_at,KLK7,kallikrein related peptidase 7
205779_at,RAMP2,receptor activity modifying protein 2
205780_at,BIK,BCL2 interacting killer
205781_at,VPS9D1,VPS9 domain containing 1
205782_at,FGF7,fibroblast growth factor 7
205783_at,KLK13,kallikrein related peptidase 13
205784_x_at,ARVCF,ARVCF delta catenin family member
205785_at,ITGAM,integrin subunit alpha M
205786_s_at,ITGAM,integrin subunit alpha M
205787_x_at,ZC3H11A,zinc finger CCCH-type containing 11A
205787_x_at,LOC441155,zinc finger CCCH-type domain-containing-like
205788_s_at,ZC3H11A,zinc finger CCCH-type containing 11A
205788_s_at,LOC441155,zinc finger CCCH-type domain-containing-like
205789_at,CD1D,CD1d molecule
205790_at,SKAP1,src kinase associated phosphoprotein 1
205791_x_at,ZNF230,zinc finger protein 230
205792_at,CCN5,cellular communication network factor 5
205793_x_at,TNK1,tyrosine kinase non receptor 1
205794_s_at,NOVA1,NOVA alternative splicing regulator 1
205795_at,NRXN3,neurexin 3
205796_at,TCP11L1,t-complex 11 like 1
205797_s_at,TCP11L1,t-complex 11 like 1
205798_at,IL7R,interleukin 7 receptor
205799_s_at,SLC3A1,solute carrier family 3 member 1
205800_at,SLC3A1,solute carrier family 3 member 1
205801_s_at,RASGRP3,RAS guanyl releasing protein 3
205802_at,TRPC1,transient receptor potential cation channel subfamily C member 1
205803_s_at,TRPC1,transient receptor potential cation channel subfamily C member 1
205804_s_at,TRAF3IP3,TRAF3 interacting protein 3
205805_s_at,ROR1,receptor tyrosine kinase like orphan receptor 1
205806_at,ROM1,retinal outer segment membrane protein 1
205807_s_at,TUFT1,tuftelin 1
205808_at,ASPH,aspartate beta-hydroxylase
205809_s_at,WASL,WASP like actin nucleation promoting factor
205810_s_at,WASL,WASP like actin nucleation promoting factor
205811_at,POLG2,"DNA polymerase gamma 2, accessory subunit"
205812_s_at,SULT1C4,sulfotransferase family 1C member 4
205812_s_at,TMED9,transmembrane p24 trafficking protein 9
205813_s_at,MAT1A,methionine adenosyltransferase 1A
205814_at,GRM3,glutamate metabotropic receptor 3
205815_at,REG3A,regenerating family member 3 alpha
205816_at,ITGB8,integrin subunit beta 8
205817_at,SIX1,SIX homeobox 1
205818_at,BRINP1,BMP/retinoic acid inducible neural specific 1
205819_at,MARCO,macrophage receptor with collagenous structure
205820_s_at,APOC3,apolipoprotein C3
205821_at,KLRK1,killer cell lectin like receptor K1
205821_at,KLRC4-KLRK1,KLRC4-KLRK1 readthrough
205822_s_at,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1
205823_at,RGS12,regulator of G protein signaling 12
205824_at,HSPB2,heat shock protein family B (small) member 2
205825_at,PCSK1,proprotein convertase subtilisin/kexin type 1
205826_at,MYOM2,myomesin 2
205827_at,CCK,cholecystokinin
205828_at,MMP3,matrix metallopeptidase 3
205829_at,HSD17B1,hydroxysteroid 17-beta dehydrogenase 1
205830_at,CLGN,calmegin
205831_at,CD2,CD2 molecule
205832_at,CPA4,carboxypeptidase A4
205833_s_at,PART1,prostate androgen-regulated transcript 1
205834_s_at,PART1,prostate androgen-regulated transcript 1
205835_s_at,YTHDC2,YTH domain containing 2
205836_s_at,YTHDC2,YTH domain containing 2
205837_s_at,GYPA,glycophorin A (MNS blood group)
205838_at,GYPA,glycophorin A (MNS blood group)
205839_s_at,TSPOAP1,TSPO associated protein 1
205840_x_at,GH1,growth hormone 1
205841_at,JAK2,Janus kinase 2
